Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01
UK_BH2_OCGT_2057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409	7.345083604
UK_BH2_OCGT_2058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218	7.3085409
UK_BH2_OCGT_2059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236	7.27218
UK_BH2_OCGT_2060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.236
UK_BH2_OCGT_2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UK_GH2_CCGT_2020	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586	6.701410939	6.734917994	6.768592584	6.802435547	6.836447724	6.870629963
UK_GH2_CCGT_2021	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586	6.701410939	6.734917994	6.768592584	6.802435547	6.836447724
UK_GH2_CCGT_2022	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586	6.701410939	6.734917994	6.768592584	6.802435547
UK_GH2_CCGT_2023	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586	6.701410939	6.734917994	6.768592584
UK_GH2_CCGT_2024	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586	6.701410939	6.734917994
UK_GH2_CCGT_2025	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586	6.701410939
UK_GH2_CCGT_2026	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106	6.668070586
UK_GH2_CCGT_2027	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672	6.634896106
UK_GH2_CCGT_2028	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465	6.601886672
UK_GH2_CCGT_2029	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667	6.569041465
UK_GH2_CCGT_2030	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464	6.536359667
UK_GH2_CCGT_2031	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049	6.503840464
