Object_Name	Object_Type
ES Offshore 193 37.0 -1.25 130M HHxWSc+HHc+WSc	Variable
ES Offshore 193 37.0 -1.25 130M HHxWSc+HHc+WSc+C	Variable
ES Offshore 193 37.0 -1.25 160M Generator LWST	Generator
ES Offshore 193 37.0 -1.25 160M Generator LWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 160M Generator LWST CRF	Variable
ES Offshore 193 37.0 -1.25 160M Generator NWST	Generator
ES Offshore 193 37.0 -1.25 160M Generator NWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 160M Generator NWST CRF	Variable
ES Offshore 193 37.0 -1.25 160M Generator HWST	Generator
ES Offshore 193 37.0 -1.25 160M Generator HWST Hub Height	Variable
ES Offshore 193 37.0 -1.25 160M Generator HWST CRF	Variable
ES Offshore 193 37.0 -1.25 160M Windspeed	Variable
ES Offshore 193 37.0 -1.25 160M HHxWS	Variable
ES Offshore 193 37.0 -1.25 160M HHxWSc	Variable
ES Offshore 193 37.0 -1.25 160M HHc	Variable
ES Offshore 193 37.0 -1.25 160M WSc	Variable
ES Offshore 193 37.0 -1.25 160M HHxWSc+HHc	Variable
ES Offshore 193 37.0 -1.25 160M HHxWSc+HHc+WSc	Variable
ES Offshore 193 37.0 -1.25 160M HHxWSc+HHc+WSc+C	Variable
ES Offshore 193 37.0 -1.25 Windspeed	Variable
ES Offshore 193 37.0 -1.25 File	DataSource
ES Offshore 193 37.0 -1.25 TS	DBTimeSeries
ES Offshore 730 40.0 0.625 WSc	Variable
ES Offshore 730 40.0 0.625 Base Wind Speed	Variable
ES Offshore 730 40.0 0.625 100M Generator LWST	Generator
ES Offshore 730 40.0 0.625 100M Generator LWST Hub Height	Variable
ES Offshore 730 40.0 0.625 100M Generator LWST CRF	Variable
ES Offshore 730 40.0 0.625 100M Generator NWST	Generator
ES Offshore 730 40.0 0.625 100M Generator NWST Hub Height	Variable
ES Offshore 730 40.0 0.625 100M Generator NWST CRF	Variable
ES Offshore 730 40.0 0.625 100M Generator HWST	Generator
