Object_Name	Object_Type
ES Onshore 1250 43.0 -8.125 35M HHxWSc+HHc	Variable
ES Onshore 1250 43.0 -8.125 35M HHxWSc+HHc+WSc	Variable
ES Onshore 1250 43.0 -8.125 35M HHxWSc+HHc+WSc+C	Variable
ES RWE Paxareiras II	Generator
ES RWE Pico Gallo	Generator
ES Onshore 1252 43.0 -6.875 45M Windspeed	Variable
ES Onshore 1252 43.0 -6.875 45M HHxWS	Variable
ES Onshore 1252 43.0 -6.875 45M HHxWSc	Variable
ES Onshore 1252 43.0 -6.875 45M HHc	Variable
ES Onshore 1252 43.0 -6.875 45M WSc	Variable
ES Onshore 1252 43.0 -6.875 45M HHxWSc+HHc	Variable
ES Onshore 1252 43.0 -6.875 45M HHxWSc+HHc+WSc	Variable
ES Onshore 1252 43.0 -6.875 45M HHxWSc+HHc+WSc+C	Variable
ES RWE Planas de Pola	Generator
ES RWE Puntaza de Remolinos I	Generator
ES RWE Puntaza de Remolinos II	Generator
ES RWE San Juan de Bargas I	Generator
ES Onshore 1082 42.0 -1.875 50M Windspeed	Variable
ES Onshore 1082 42.0 -1.875 50M HHxWS	Variable
ES Onshore 1082 42.0 -1.875 50M HHxWSc	Variable
ES Onshore 1082 42.0 -1.875 50M HHc	Variable
ES Onshore 1082 42.0 -1.875 50M WSc	Variable
ES Onshore 1082 42.0 -1.875 50M HHxWSc+HHc	Variable
ES Onshore 1082 42.0 -1.875 50M HHxWSc+HHc+WSc	Variable
ES Onshore 1082 42.0 -1.875 50M HHxWSc+HHc+WSc+C	Variable
ES RWE San Juan de Bargas II	Generator
ES RWE Sierra de Tineo	Generator
ES Onshore 1252 43.0 -6.875 80M Windspeed	Variable
ES Onshore 1252 43.0 -6.875 80M HHxWS	Variable
ES Onshore 1252 43.0 -6.875 80M HHxWSc	Variable
ES Onshore 1252 43.0 -6.875 80M HHc	Variable
ES Onshore 1252 43.0 -6.875 80M WSc	Variable
ES Onshore 1252 43.0 -6.875 80M HHxWSc+HHc	Variable
ES Onshore 1252 43.0 -6.875 80M HHxWSc+HHc+WSc	Variable
ES Onshore 1252 43.0 -6.875 80M HHxWSc+HHc+WSc+C	Variable
